all_families,family,genus,species,common_name,notes
rousseaceae,,,,,
rubiaceae,,,,,
ruppiaceae,,,,,
rutaceae,,,,,
sabiaceae,,,,,
salicaceae,,,,,
salvadoraceae,,,,,
santalaceae,,,,,
sapindaceae,,,,,
sapotaceae,,,,,
sarcobataceae,,,,,
sarcolaenaceae,,,,,
sarraceniaceae,,,,,
saururaceae,,,,,
saxifragaceae,,,,,
scheuchzeriaceae,,,,,
schisandraceae,,,,,
schlegeliaceae,,,,,
schoepfiaceae,,,,,
scrophulariaceae,,,,,
setchellanthaceae,,,,,
simaroubaceae,,,,,
simmondsiaceae,,,,,
siparunaceae,,,,,
sladeniaceae,,,,,
smilacaceae,,,,,
solanaceae,,,,,
sphaerosepalaceae,,,,,
sphenocleaceae,,,,,
stachyuraceae,,,,,
staphyleaceae,,,,,
stegnospermataceae,,,,,
stemonaceae,,,,,
stemonuraceae,,,,,
stilbaceae,,,,,
strasburgeriaceae,,,,,
strelitziaceae,,,,,
strombosiaceae,,,,,
stylidiaceae,,,,,
styracaceae,,,,,
surianaceae,,,,,
symplocaceae,,,,,
talinaceae,,,,,
tamaricaceae,,,,,
tapisciaceae,,,,,
tecophilaeaceae,,,,,
tetracarpaeaceae,,,,,
tetrachondraceae,,,,,
tetramelaceae,,,,,
tetrameristaceae,,,,,
theaceae,,,,,
thesiaceae,,,,,
thomandersiaceae,,,,,
thurniaceae,,,,,
thymelaeaceae,,,,,
ticodendraceae,,,,,
tofieldiaceae,,,,,
torricelliaceae,,,,,
tovariaceae,,,,,
trigoniaceae,,,,,
trimeniaceae,,,,,
triuridaceae,,,,,
trochodendraceae,,,,,
tropaeolaceae,,,,,
typhaceae,,,,,
ulmaceae,,,,,
urticaceae,,,,,
vahliaceae,,,,,
velloziaceae,,,,,
verbenaceae,,,,,
violaceae,,,,,
viscaceae,,,,,
vitaceae,,,,,
vivianiaceae,,,,,
vochysiaceae,,,,,
winteraceae,,,,,
xanthorrhoeaceae,,,,,
xeronemataceae,,,,,
ximeniaceae,,,,,
xyridaceae,,,,,
zingiberaceae,,,,,
zosteraceae,,,,,
zygophyllaceae,,,,,
